series_id        	year	period	       value	footnote_codes
CUSR0000SA0      	1997	M01	      159.40	
CUSR0000SA0      	1997	M02	      159.70	
CUSR0000SA0      	1997	M03	      159.80	
CUSR0000SA0      	1997	M04	      159.90	
CUSR0000SA0      	1997	M05	      159.90	
CUSR0000SA0      	1997	M06	      160.20	
CUSR0000SA0      	1997	M07	      160.40	
CUSR0000SA0      	1997	M08	      160.80	
CUSR0000SA0      	1997	M09	      161.20	
CUSR0000SA0      	1997	M10	      161.50	
CUSR0000SA0      	1997	M11	      161.70	
CUSR0000SA0      	1997	M12	      161.80	
CUSR0000SA0      	1998	M01	      162.00	
CUSR0000SA0      	1998	M02	      162.00	
CUSR0000SA0      	1998	M03	      162.00	
CUSR0000SA0      	1998	M04	      162.20	
CUSR0000SA0      	1998	M05	      162.60	
CUSR0000SA0      	1998	M06	      162.80	
CUSR0000SA0      	1998	M07	      163.20	
CUSR0000SA0      	1998	M08	      163.40	
CUSR0000SA0      	1998	M09	      163.50	
CUSR0000SA0      	1998	M10	      163.90	
CUSR0000SA0      	1998	M11	      164.10	
CUSR0000SA0      	1998	M12	      164.40	
CUSR0000SA0      	1999	M01	      164.70	
CUSR0000SA0      	1999	M02	      164.70	
CUSR0000SA0      	1999	M03	      164.80	
CUSR0000SA0      	1999	M04	      165.90	
CUSR0000SA0      	1999	M05	      166.00	
CUSR0000SA0      	1999	M06	      166.00	
CUSR0000SA0      	1999	M07	      166.70	
CUSR0000SA0      	1999	M08	      167.10	
CUSR0000SA0      	1999	M09	      167.80	
CUSR0000SA0      	1999	M10	      168.10	
CUSR0000SA0      	1999	M11	      168.40	
CUSR0000SA0      	1999	M12	      168.80	
CUSR0000SA0      	2000	M01	      169.30	
CUSR0000SA0      	2000	M02	      170.00	
CUSR0000SA0      	2000	M03	      171.00	
CUSR0000SA0      	2000	M04	      170.90	
CUSR0000SA0      	2000	M05	      171.20	
CUSR0000SA0      	2000	M06	      172.20	
CUSR0000SA0      	2000	M07	      172.70	
CUSR0000SA0      	2000	M08	      172.70	
CUSR0000SA0      	2000	M09	      173.60	
CUSR0000SA0      	2000	M10	      173.90	
CUSR0000SA0      	2000	M11	      174.20	
CUSR0000SA0      	2000	M12	      174.60	
CUSR0000SA0      	2001	M01	      175.60	
CUSR0000SA0      	2001	M02	      176.00	
CUSR0000SA0      	2001	M03	      176.10	
CUSR0000SA0      	2001	M04	      176.40	
CUSR0000SA0      	2001	M05	      177.30	
CUSR0000SA0      	2001	M06	      177.70	
CUSR0000SA0      	2001	M07	      177.40	
CUSR0000SA0      	2001	M08	      177.40	
CUSR0000SA0      	2001	M09	      178.10	
CUSR0000SA0      	2001	M10	      177.60	
CUSR0000SA0      	2001	M11	      177.50	
CUSR0000SA0      	2001	M12	      177.40	
CUSR0000SA0      	2002	M01	       177.7	
CUSR0000SA0      	2002	M02	       178.0	
CUSR0000SA0      	2002	M03	       178.5	
CUSR0000SA0      	2002	M04	       179.3	
CUSR0000SA0      	2002	M05	       179.5	
CUSR0000SA0      	2002	M06	       179.6	
CUSR0000SA0      	2002	M07	       180.0	
CUSR0000SA0      	2002	M08	       180.5	
CUSR0000SA0      	2002	M09	       180.8	
CUSR0000SA0      	2002	M10	       181.2	
CUSR0000SA0      	2002	M11	       181.5	
CUSR0000SA0      	2002	M12	       181.8	
CUSR0000SA0      	2003	M01	       182.6	
CUSR0000SA0      	2003	M02	       183.6	
CUSR0000SA0      	2003	M03	       183.9	
CUSR0000SA0      	2003	M04	       183.2	
CUSR0000SA0      	2003	M05	       182.9	
CUSR0000SA0      	2003	M06	       183.1	
CUSR0000SA0      	2003	M07	       183.7	
CUSR0000SA0      	2003	M08	       184.5	
CUSR0000SA0      	2003	M09	       185.1	
CUSR0000SA0      	2003	M10	       184.9	
CUSR0000SA0      	2003	M11	       185.0	
CUSR0000SA0      	2003	M12	       185.5	
CUSR0000SA0      	2004	M01	       186.3	
CUSR0000SA0      	2004	M02	       186.7	
CUSR0000SA0      	2004	M03	       187.1	
CUSR0000SA0      	2004	M04	       187.4	
CUSR0000SA0      	2004	M05	       188.2	
CUSR0000SA0      	2004	M06	       188.9	
CUSR0000SA0      	2004	M07	       189.1	
CUSR0000SA0      	2004	M08	       189.2	
CUSR0000SA0      	2004	M09	       189.8	
CUSR0000SA0      	2004	M10	       190.8	
CUSR0000SA0      	2004	M11	       191.7	
CUSR0000SA0      	2004	M12	       191.7	
CUSR0000SA0      	2005	M01	       191.6	
CUSR0000SA0      	2005	M02	       192.4	
CUSR0000SA0      	2005	M03	       193.1	
CUSR0000SA0      	2005	M04	       193.7	
CUSR0000SA0      	2005	M05	       193.6	
CUSR0000SA0      	2005	M06	       193.7	
CUSR0000SA0      	2005	M07	       194.9	
CUSR0000SA0      	2005	M08	       196.1	
CUSR0000SA0      	2005	M09	       198.8	
CUSR0000SA0      	2005	M10	       199.1	
CUSR0000SA0      	2005	M11	       198.1	
CUSR0000SA0      	2005	M12	       198.1	
CUSR0000SA0      	2006	M01	       199.3	
CUSR0000SA0      	2006	M02	       199.4	
CUSR0000SA0      	2006	M03	       199.7	
CUSR0000SA0      	2006	M04	       200.7	
CUSR0000SA0      	2006	M05	       201.3	
CUSR0000SA0      	2006	M06	       201.8	
CUSR0000SA0      	2006	M07	       202.9	
CUSR0000SA0      	2006	M08	       203.8	
CUSR0000SA0      	2006	M09	       202.8	
CUSR0000SA0      	2006	M10	       201.9	
CUSR0000SA0      	2006	M11	       202.0	
CUSR0000SA0      	2006	M12	       203.1	
CUSR0000SA0      	2007	M01	     203.437	
CUSR0000SA0      	2007	M02	     204.226	
CUSR0000SA0      	2007	M03	     205.288	
CUSR0000SA0      	2007	M04	     205.904	
CUSR0000SA0      	2007	M05	     206.755	
CUSR0000SA0      	2007	M06	     207.234	
CUSR0000SA0      	2007	M07	     207.603	
CUSR0000SA0      	2007	M08	     207.667	
CUSR0000SA0      	2007	M09	     208.547	
CUSR0000SA0      	2007	M10	     209.190	
CUSR0000SA0      	2007	M11	     210.834	
CUSR0000SA0      	2007	M12	     211.445	
CUSR0000SA0      	2008	M01	     212.174	
CUSR0000SA0      	2008	M02	     212.687	
CUSR0000SA0      	2008	M03	     213.448	
CUSR0000SA0      	2008	M04	     213.942	
CUSR0000SA0      	2008	M05	     215.208	
CUSR0000SA0      	2008	M06	     217.463	
CUSR0000SA0      	2008	M07	     219.016	
CUSR0000SA0      	2008	M08	     218.690	
CUSR0000SA0      	2008	M09	     218.877	
CUSR0000SA0      	2008	M10	     216.995	
CUSR0000SA0      	2008	M11	     213.153	
CUSR0000SA0      	2008	M12	     211.398	
CUSR0000SA0      	2009	M01	     211.933	
CUSR0000SA0      	2009	M02	     212.705	
CUSR0000SA0      	2009	M03	     212.495	
CUSR0000SA0      	2009	M04	     212.709	
CUSR0000SA0      	2009	M05	     213.022	
CUSR0000SA0      	2009	M06	     214.790	
CUSR0000SA0      	2009	M07	     214.726	
CUSR0000SA0      	2009	M08	     215.445	
CUSR0000SA0      	2009	M09	     215.861	
CUSR0000SA0      	2009	M10	     216.509	
CUSR0000SA0      	2009	M11	     217.234	
CUSR0000SA0      	2009	M12	     217.347	
CUSR0000SA0      	2010	M01	     217.488	
CUSR0000SA0      	2010	M02	     217.281	
CUSR0000SA0      	2010	M03	     217.353	
CUSR0000SA0      	2010	M04	     217.403	
CUSR0000SA0      	2010	M05	     217.290	
CUSR0000SA0      	2010	M06	     217.199	
CUSR0000SA0      	2010	M07	     217.605	
CUSR0000SA0      	2010	M08	     217.923	
CUSR0000SA0      	2010	M09	     218.275	
CUSR0000SA0      	2010	M10	     219.035	
CUSR0000SA0      	2010	M11	     219.590	
CUSR0000SA0      	2010	M12	     220.472	
CUSR0000SA0      	2011	M01	     221.187	
CUSR0000SA0      	2011	M02	     221.898	
CUSR0000SA0      	2011	M03	     223.046	
CUSR0000SA0      	2011	M04	     224.093	
CUSR0000SA0      	2011	M05	     224.806	
CUSR0000SA0      	2011	M06	     224.806	
CUSR0000SA0      	2011	M07	     225.395	
CUSR0000SA0      	2011	M08	     226.106	
CUSR0000SA0      	2011	M09	     226.597	
CUSR0000SA0      	2011	M10	     226.750	
CUSR0000SA0      	2011	M11	     227.169	
CUSR0000SA0      	2011	M12	     227.223	
CUSR0000SA0      	2012	M01	     227.842	
CUSR0000SA0      	2012	M02	     228.329	
CUSR0000SA0      	2012	M03	     228.807	
CUSR0000SA0      	2012	M04	     229.187	
CUSR0000SA0      	2012	M05	     228.713	
CUSR0000SA0      	2012	M06	     228.524	
CUSR0000SA0      	2012	M07	     228.590	
CUSR0000SA0      	2012	M08	     229.918	
CUSR0000SA0      	2012	M09	     231.015	
CUSR0000SA0      	2012	M10	     231.638	
CUSR0000SA0      	2012	M11	     231.249	
CUSR0000SA0      	2012	M12	     231.221	
CUSR0000SA0      	2013	M01	     231.679	
CUSR0000SA0      	2013	M02	     232.937	
CUSR0000SA0      	2013	M03	     232.282	
CUSR0000SA0      	2013	M04	     231.797	
CUSR0000SA0      	2013	M05	     231.893	
CUSR0000SA0      	2013	M06	     232.445	
CUSR0000SA0      	2013	M07	     232.900	
CUSR0000SA0      	2013	M08	     233.456	
CUSR0000SA0      	2013	M09	     233.544	
CUSR0000SA0      	2013	M10	     233.669	
CUSR0000SA0      	2013	M11	     234.100	
CUSR0000SA0      	2013	M12	     234.719	
CUSR0000SA0      	2014	M01	     235.288	
CUSR0000SA0      	2014	M02	     235.547	
CUSR0000SA0      	2014	M03	     236.028	
CUSR0000SA0      	2014	M04	     236.468	
CUSR0000SA0      	2014	M05	     236.918	
CUSR0000SA0      	2014	M06	     237.231	
CUSR0000SA0      	2014	M07	     237.498	
CUSR0000SA0      	2014	M08	     237.460	
CUSR0000SA0      	2014	M09	     237.477	
CUSR0000SA0      	2014	M10	     237.430	
CUSR0000SA0      	2014	M11	     236.983	
CUSR0000SA0      	2014	M12	     236.252	
CUSR0000SA0      	2015	M01	     234.747	
CUSR0000SA0      	2015	M02	     235.342	
CUSR0000SA0      	2015	M03	     235.976	
CUSR0000SA0      	2015	M04	     236.222	
CUSR0000SA0      	2015	M05	     237.001	
CUSR0000SA0      	2015	M06	     237.657	
CUSR0000SA0      	2015	M07	     238.034	
CUSR0000SA0      	2015	M08	     238.033	
CUSR0000SA0      	2015	M09	     237.498	
CUSR0000SA0      	2015	M10	     237.733	
CUSR0000SA0      	2015	M11	     238.017	
CUSR0000SA0      	2015	M12	     237.761	
CUSR0000SA0      	2016	M01	     237.827	
CUSR0000SA0      	2016	M02	     237.514	
CUSR0000SA0      	2016	M03	     237.990	
CUSR0000SA0      	2016	M04	     238.835	
CUSR0000SA0      	2016	M05	     239.440	
CUSR0000SA0      	2016	M06	     240.144	
CUSR0000SA0      	2016	M07	     240.111	
CUSR0000SA0      	2016	M08	     240.595	
CUSR0000SA0      	2016	M09	     241.068	
CUSR0000SA0      	2016	M10	     241.641	
CUSR0000SA0      	2016	M11	     241.993	
CUSR0000SA0      	2016	M12	     242.712	
CUSR0000SA0      	2017	M01	     243.717	
CUSR0000SA0      	2017	M02	     244.028	
CUSR0000SA0      	2017	M03	     243.721	
CUSR0000SA0      	2017	M04	     244.058	
CUSR0000SA0      	2017	M05	     243.926	
CUSR0000SA0      	2017	M06	     244.179	
CUSR0000SA0      	2017	M07	     244.328	
CUSR0000SA0      	2017	M08	     245.304	
CUSR0000SA0      	2017	M09	     246.445	
CUSR0000SA0      	2017	M10	     246.570	
CUSR0000SA0      	2017	M11	     247.333	
CUSR0000SA0      	2017	M12	     247.847	
CUSR0000SA0      	2018	M01	     248.816	
CUSR0000SA0      	2018	M02	     249.475	
CUSR0000SA0      	2018	M03	     249.413	
CUSR0000SA0      	2018	M04	     249.957	
CUSR0000SA0      	2018	M05	     250.640	
CUSR0000SA0      	2018	M06	     251.176	
CUSR0000SA0      	2018	M07	     251.482	
CUSR0000SA0      	2018	M08	     251.905	
CUSR0000SA0      	2018	M09	     252.261	
CUSR0000SA0      	2018	M10	     252.777	
CUSR0000SA0      	2018	M11	     252.662	
CUSR0000SA0      	2018	M12	     252.653	
CUSR0000SA0      	2019	M01	     252.550	
CUSR0000SA0      	2019	M02	     253.181	
CUSR0000SA0      	2019	M03	     254.095	
CUSR0000SA0      	2019	M04	     254.943	
CUSR0000SA0      	2019	M05	     255.167	
CUSR0000SA0      	2019	M06	     255.402	
CUSR0000SA0      	2019	M07	     256.087	
CUSR0000SA0      	2019	M08	     256.294	
CUSR0000SA0      	2019	M09	     256.593	
CUSR0000SA0      	2019	M10	     257.229	
CUSR0000SA0      	2019	M11	     257.824	
CUSR0000SA0      	2019	M12	     258.444	
CUSR0000SA0      	2020	M01	     258.820	
CUSR0000SA0      	2020	M02	     259.050	
CUSR0000SA0      	2020	M03	     257.953	
CUSR0000SA0      	2020	M04	     255.902	
CUSR0000SA0      	2020	M05	     255.768	
CUSR0000SA0      	2020	M06	     257.214	
CUSR0000SA0      	2020	M07	     258.723	
CUSR0000SA0      	2020	M08	     259.681